Node,degree,indegree_nodes_defines,outdegree_nodes_defines,indegree_nodes_calls,outdegree_nodes_calls,betweenness,closeness,pagerank,hubs,authorities,eigenvector,combined_score
\src\wiki\utils::findFileParentNode,0.03225806451612903,,,0.06666666666666667,0.125,0.0,0.0,0.21089320909692214,1.4981432903194712e-16,2.476440508253964e-16,4.5367720254809065e-07,0.43481839395692073
\src\communities\centrality::degree_centrality,0.03225806451612903,,,0.06666666666666667,0.125,0.025799516259070145,0.11588307634093276,0.0176283843244435,1.1031867889529377e-16,3.043740714386561e-16,2.2681869888144852e-06,0.38323797629423134
\src\communities\centrality::df_nodes,0.03225806451612903,,,0.06666666666666667,0.125,0.04514915345337276,0.05098855359001041,0.015835243626205288,1.5268337650623036e-16,2.6612703339323005e-16,8.653214172531115e-12,0.3358976818610378
\src\communities\centrality::most_important_nodes,0.03225806451612903,,,0.0,0.25,0.0,0.0,0.0,1.5305871439357238e-16,2.4468022005525465e-16,0.0,0.2822580645161294
\src\communities\centrality::df_files,0.03225806451612903,,,0.06666666666666667,0.125,0.04514915345337276,0.05098855359001041,0.015835243626205288,1.5268337650623036e-16,2.7466258957451065e-16,8.653214172531115e-12,0.3358976818610378
\src\communities\centrality::most_important_files,0.03225806451612903,,,0.0,0.25,0.0,0.0,0.0,1.5480485323421223e-16,1.5437572541273408e-16,0.0,0.28225806451612934
\src\wiki\wikiGuille::bfs,0.03225806451612903,,,0.0,0.25,0.0,0.0,0.0,2.905911906233116e-16,2.1603239140157903e-16,0.0,0.2822580645161295
\src\wiki\utils::generateNodeDocumentation,0.03225806451612903,,,0.06666666666666667,0.125,0.0,0.05098855359001041,0.010556829084136857,1.741397067424433e-16,2.4871204950304704e-16,8.653214172531115e-12,0.28547011386559656
\src\wiki\wikiGuille::buildGraphs,0.03225806451612903,,,0.0,0.25,0.0,0.0,0.0,2.8551382051133316e-16,2.036226743632516e-16,0.0,0.2822580645161295
\src\wiki\wikiGuille::linksPath,0.03225806451612903,,,0.0,0.25,0.0,0.0,0.0,1.8269707574376984e-16,1.6639352324826926e-16,0.0,0.28225806451612934
\src\queries\index::treeSitterQueries,0.03225806451612903,,,0.06666666666666667,0.125,0.0,0.0,0.21089320909692214,1.3739378290277555e-16,1.869293660475903e-16,4.5367720254809065e-07,0.4348183939569206
\src\wiki\utils::totalTokens,0.03225806451612903,,,0.13333333333333333,0.0,0.0,0.10197710718002082,0.026392072710342152,1.4842482748791541e-16,2.38208893647172e-16,1.730642834506224e-11,0.29396057775713214
\src\wiki\wikiGuille::folder_path,0.03225806451612903,,,0.13333333333333333,0.0,0.0,0.10197710718002082,0.03167048725241058,1.4842482748791541e-16,3.091052691890349e-16,1.730642834506224e-11,0.2992389922992007
\src\communities\communities::folder_path,0.03225806451612903,,,0.13333333333333333,0.0,0.0,0.11472424557752342,0.037055409810427084,1.4842482748791541e-16,2.9083391649555733e-16,1.817174976231535e-10,0.3173710534191308
